tiedosto, file
näppäimistö, keyboard
salasana, password
tulostin, printer
avain, key
koodi, code
insinööri, engineer
rivi, row
palomuuri, firewall
digitaalinen, digital
kopioida, copy
grafiikka, graphics
simulaatio, simulation
sarake, column
arvo, value
työpöytä, desktop
hakkeri, hacker
funktio, function
konsoli, console
eväste, cookie
äänikortti, sound card
emolevy, motherboard
palvelin, server
kaksoisklikkaus, double click
langaton, wireless
kosketusnäyttö, touch screen
bitti, bit
