tietojenkäsittelytiede, computer science
reititin, router
kvanttitietokone, quantum computer
merkkijono, string
syöte, input
haavoittuvuus, vulnerability
tavu, byte
askelpalautin, backspace
ajuri, driver
rajapinta, interface
tuloste, ouput
skaalaaminen, scaling
alihakemisto, subdirectory
varmenne, certificate
kryptografia, cryptography
pääsynvalvonta, access control
LAN, Local Area Network
GUI, Graphical User Interface
HDD, Hard Disk Drive
RAM, Random Access Memory
PC, Personal Computer
IoT, Internet of Things
API, Application Programming Interface
MB, Megabyte
Mb, Megabit
CLI, Command Line Interface
