tarkistussumma, checksum
keko, heap
lisätty todellisuus, augmented reality
neuroverkko, neural network
semafori, semaphore
kubitti, qubit
sulautettu, embedded
piirisarja, chipset
reikäkortti, punch card
lohkoketju, blockchain
informaatiosodankäynti, information warfare 
SaaS, Software as a Service
PaaS, Platform as a Service
IaaS, Infrastructure as a Service
SSL, Secure Socket Layer
POM, Project Object Model
XML, Extensible Markup Language
EULA, End User License Agreement
PDF, Portable Document Format
GIF, Graphics Interchange Format
HTML, Hypertext Markup Language
HTTP, Hypertext Markup Language 
URL, Uniform Resource Locator
URI, Uniform Resource Identifier
SSH, Secure Shell
